Month,Year,Team A,Team B,Ground,Won,Team A Won,Trim Team A,Trim Team B
August,2000,New Zealand ,Pakistan,Kallang Ground,Pakistan ,0,New Zealand,Pakistan
August,2000,Pakistan ,South Africa,Kallang Ground,Pakistan ,1,Pakistan,South Africa
August,2000,New Zealand ,South Africa,Kallang Ground,South Africa ,0,New Zealand,South Africa
August,2000,Pakistan ,South Africa,Kallang Ground,South Africa ,0,Pakistan,South Africa
March,2000,India ,South Africa,Keenan Stadium,India ,1,India,South Africa
April,2000,West Indies ,Pakistan,Kensington Oval,Pakistan ,0,West Indies,Pakistan
April,2000,South Africa ,Australia,Kingsmead,South Africa ,1,South Africa,Australia
November,2000,South Africa ,New Zealand,Kingsmead,South Africa ,1,South Africa,New Zealand
January,2000,South Africa ,England,Mangaung Oval,England ,0,South Africa,England
March,2000,New Zealand ,Australia,McLean Park,Australia ,0,New Zealand,Australia
January,2000,New Zealand ,West Indies,McLean Park,New Zealand ,1,New Zealand,West Indies
January,2000,Australia ,India,Melbourne Cricket Ground,Australia ,1,Australia,India
January,2000,Australia ,Pakistan,Melbourne Cricket Ground,Australia ,1,Australia,Pakistan
January,2000,Australia ,Pakistan,Melbourne Cricket Ground,Australia ,1,Australia,Pakistan
February,2000,Australia ,Pakistan,Melbourne Cricket Ground,Australia ,1,Australia,Pakistan
March,2000,India ,South Africa,Nahar Singh Stadium,South Africa ,0,India,South Africa
April,2000,West Indies ,Pakistan,National Cricket Stadium,West Indies ,1,West Indies,Pakistan
February,2000,Pakistan ,Sri Lanka,National Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
October,2000,Pakistan ,England,National Stadium,England ,0,Pakistan,England
March,2000,India ,South Africa,Nehru Stadium ,India ,1,India,South Africa
April,2000,South Africa ,Australia,Newlands,Australia ,0,South Africa,Australia
January,2000,South Africa ,England,Newlands,South Africa ,1,South Africa,England
November,2000,South Africa ,New Zealand,Newlands,South Africa ,1,South Africa,New Zealand
January,2000,New Zealand ,West Indies,Owen Delany Park,New Zealand ,1,New Zealand,West Indies
April,2000,West Indies ,Pakistan,Queen's Park Oval,Pakistan ,0,West Indies,Pakistan
April,2000,West Indies ,Pakistan,Queen's Park Oval,West Indies ,1,West Indies,Pakistan
July,2000,Pakistan ,South Africa,R Premadasa Stadium,South Africa ,0,Pakistan,South Africa
July,2000,Sri Lanka ,Pakistan,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,Pakistan
July,2000,Sri Lanka ,South Africa,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,South Africa
October,2000,Pakistan ,England,Rawalpindi Cricket Stadium,Pakistan ,1,Pakistan,England
March,2000,India ,South Africa,Reliance Stadium,India ,1,India,South Africa
July,2000,England ,West Indies,Riverside Ground,England ,1,England,West Indies
March,2000,India ,Pakistan,Sharjah Cricket Stadium,India ,1,India,Pakistan
March,2000,India ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,India,Pakistan
March,2000,Pakistan ,South Africa,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,South Africa
March,2000,Pakistan ,South Africa,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,South Africa
March,2000,India ,South Africa,Sharjah Cricket Stadium,South Africa ,0,India,South Africa
March,2000,Pakistan ,South Africa,Sharjah Cricket Stadium,South Africa ,0,Pakistan,South Africa
March,2000,India ,South Africa,Sharjah Cricket Stadium,South Africa ,0,India,South Africa
October,2000,India ,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka ,0,India,Sri Lanka
October,2000,India ,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka ,0,India,Sri Lanka
October,2000,India ,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka ,0,India,Sri Lanka
July,2000,Pakistan ,South Africa,Sinhalese Sports Club Ground,South Africa ,0,Pakistan,South Africa
July,2000,Sri Lanka ,South Africa,Sinhalese Sports Club Ground,Sri Lanka ,1,Sri Lanka,South Africa
December,2000,South Africa ,Sri Lanka,St George's Park,South Africa ,1,South Africa,Sri Lanka
October,2000,South Africa ,New Zealand,SuperSport Park,South Africa ,1,South Africa,New Zealand
January,2000,Australia ,India,Sydney Cricket Ground,Australia ,1,Australia,India
January,2000,Australia ,Pakistan,Sydney Cricket Ground,Australia ,1,Australia,Pakistan
February,2000,Australia ,Pakistan,Sydney Cricket Ground,Australia ,1,Australia,Pakistan
July,2000,England ,West Indies,Trent Bridge,West Indies ,0,England,West Indies
March,2000,India ,South Africa,Vidarbha Cricket Association Ground,South Africa ,0,India,South Africa
January,2000,Australia ,India,WACA Ground,Australia ,1,Australia,India
January,2000,India ,Pakistan,WACA Ground,Pakistan ,0,India,Pakistan
February,2000,South Africa ,England,Wanderers Stadium,South Africa ,1,South Africa,England
April,2000,South Africa ,Australia,Wanderers Stadium,South Africa ,1,South Africa,Australia
January,2000,New Zealand ,West Indies,Westpac Stadium,New Zealand ,1,New Zealand,West Indies
October,2000,South Africa ,New Zealand,Willowmoore Park,South Africa ,1,South Africa,New Zealand
January,2001,Australia ,West Indies,Adelaide Oval,Australia ,1,Australia,West Indies
February,2001,New Zealand ,Sri Lanka,AMI Stadium,New Zealand ,1,New Zealand,Sri Lanka
February,2001,New Zealand ,Pakistan,AMI Stadium,New Zealand ,1,New Zealand,Pakistan
May,2001,West Indies ,South Africa,Antigua Recreation Ground,South Africa ,0,West Indies,South Africa
May,2001,West Indies ,South Africa,Arnos Vale Ground,West Indies ,1,West Indies,South Africa
December,2001,Sri Lanka ,West Indies,Asgiriya Stadium,Sri Lanka ,1,Sri Lanka,West Indies
January,2001,South Africa ,Sri Lanka,Boland Park,South Africa ,1,South Africa,Sri Lanka
January,2001,Australia ,West Indies,Brisbane Cricket Ground,Australia ,1,Australia,West Indies
October,2001,South Africa ,India,Buffalo Park,South Africa ,1,South Africa,India
February,2001,New Zealand ,Pakistan,Carisbrook,New Zealand ,1,New Zealand,Pakistan
June,2001,England ,Australia,County Ground ,Australia ,0,England,Australia
February,2001,New Zealand ,Pakistan,Eden Park,Pakistan ,0,New Zealand,Pakistan
February,2001,New Zealand ,Sri Lanka,Eden Park,Sri Lanka ,0,New Zealand,Sri Lanka
June,2001,England ,Pakistan,Edgbaston,Pakistan ,0,England,Pakistan
July,2001,India ,West Indies,Harare Sports Club,India ,1,India,West Indies
July,2001,India ,West Indies,Harare Sports Club,West Indies ,0,India,West Indies
June,2001,England ,Pakistan,Headingley,Pakistan ,0,England,Pakistan
April,2001,India ,Australia,Indira Priyadarshini Stadium,Australia ,0,India,Australia
June,2001,England ,Australia,Kennington Oval,Australia ,0,England,Australia
May,2001,West Indies ,South Africa,Kensington Oval,South Africa ,0,West Indies,South Africa
October,2001,South Africa ,India,Kingsmead,South Africa ,1,South Africa,India
June,2001,Australia ,Pakistan,Lord's,Australia ,1,Australia,Pakistan
June,2001,England ,Pakistan,Lord's,Pakistan ,0,England,Pakistan
March,2001,India ,Australia,M Chinnaswamy Stadium,India ,1,India,Australia
January,2001,South Africa ,Sri Lanka,Mangaung Oval,South Africa ,1,South Africa,Sri Lanka
February,2001,New Zealand ,Pakistan,McLean Park,New Zealand ,1,New Zealand,Pakistan
January,2001,New Zealand ,Sri Lanka,McLean Park,Sri Lanka ,0,New Zealand,Sri Lanka
January,2001,Australia ,West Indies,Melbourne Cricket Ground,Australia ,1,Australia,West Indies
February,2001,Australia ,West Indies,Melbourne Cricket Ground,Australia ,1,Australia,West Indies
May,2001,West Indies ,South Africa,National Cricket Stadium,South Africa ,0,West Indies,South Africa
May,2001,West Indies ,South Africa,National Cricket Stadium,South Africa ,0,West Indies,South Africa
March,2001,India ,Australia,Nehru Stadium ,India ,1,India,Australia
April,2001,India ,Australia,Nehru Stadium ,Australia ,0,India,Australia
March,2001,India ,Australia,Nehru Stadium ,Australia ,0,India,Australia
January,2001,South Africa ,Sri Lanka,Newlands,South Africa ,1,South Africa,Sri Lanka
June,2001,England ,Australia,Old Trafford,Australia ,0,England,Australia
May,2001,West Indies ,South Africa,Queen's Park Oval,South Africa ,0,West Indies,South Africa
June,2001,India ,West Indies,Queens Sports Club,India ,1,India,West Indies
July,2001,Sri Lanka ,India,R Premadasa Stadium,India ,0,Sri Lanka,India
July,2001,India ,New Zealand,R Premadasa Stadium,New Zealand ,0,India,New Zealand
July,2001,India ,New Zealand,R Premadasa Stadium,New Zealand ,0,India,New Zealand
March,2001,Sri Lanka ,England,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,England
July,2001,Sri Lanka ,New Zealand,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,New Zealand
July,2001,Sri Lanka ,India,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,India
July,2001,Sri Lanka ,New Zealand,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,New Zealand
August,2001,Sri Lanka ,India,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,India
December,2001,Sri Lanka ,West Indies,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,West Indies
December,2001,Sri Lanka ,West Indies,R Premadasa Stadium,West Indies ,0,Sri Lanka,West Indies
March,2001,Sri Lanka ,England,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,England
April,2001,West Indies ,South Africa,Sabina Park,West Indies ,1,West Indies,South Africa
February,2001,New Zealand ,Sri Lanka,Seddon Park,Sri Lanka ,0,New Zealand,Sri Lanka
April,2001,New Zealand ,Sri Lanka,Sharjah Cricket Stadium,New Zealand ,1,New Zealand,Sri Lanka
April,2001,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
April,2001,New Zealand ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,New Zealand,Pakistan
April,2001,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
April,2001,New Zealand ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,New Zealand,Pakistan
November,2001,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
November,2001,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
April,2001,New Zealand ,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka ,0,New Zealand,Sri Lanka
April,2001,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
October,2001,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
August,2001,Sri Lanka ,India,Sinhalese Sports Club Ground,India ,0,Sri Lanka,India
August,2001,India ,New Zealand,Sinhalese Sports Club Ground,India ,1,India,New Zealand
March,2001,Sri Lanka ,England,Sinhalese Sports Club Ground,Sri Lanka ,1,Sri Lanka,England
July,2001,Sri Lanka ,New Zealand,Sinhalese Sports Club Ground,Sri Lanka ,1,Sri Lanka,New Zealand
June,2001,Australia ,Pakistan,Sophia Gardens,Australia ,1,Australia,Pakistan
October,2001,South Africa ,India,SuperSport Park,India ,0,South Africa,India
January,2001,Australia ,West Indies,Sydney Cricket Ground,Australia ,1,Australia,West Indies
February,2001,Australia ,West Indies,Sydney Cricket Ground,Australia ,1,Australia,West Indies
June,2001,Australia ,Pakistan,Trent Bridge,Pakistan ,0,Australia,Pakistan
October,2001,South Africa ,India,Wanderers Stadium,South Africa ,1,South Africa,India
January,2001,South Africa ,Sri Lanka,Wanderers Stadium,Sri Lanka ,0,South Africa,Sri Lanka
February,2001,New Zealand ,Pakistan,Westpac Stadium,Pakistan ,0,New Zealand,Pakistan
February,2001,New Zealand ,Sri Lanka,Westpac Stadium,Sri Lanka ,0,New Zealand,Sri Lanka
January,2002,Australia ,New Zealand,Adelaide Oval,New Zealand ,0,Australia,New Zealand
January,2002,New Zealand ,South Africa,Adelaide Oval,South Africa ,0,New Zealand,South Africa
February,2002,New Zealand ,England,AMI Stadium,New Zealand ,1,New Zealand,England
June,2002,West Indies ,New Zealand,Arnos Vale Ground,West Indies ,1,West Indies,New Zealand
January,2002,Bangladesh ,Pakistan,Bangabandhu National Stadium,Pakistan ,0,Bangladesh,Pakistan
January,2002,Bangladesh ,Pakistan,Bangabandhu National Stadium,Pakistan ,0,Bangladesh,Pakistan
December,2002,Bangladesh ,West Indies,Bangabandhu National Stadium,West Indies ,0,Bangladesh,West Indies
December,2002,Bangladesh ,West Indies,Bangabandhu National Stadium,West Indies ,0,Bangladesh,West Indies
January,2002,India ,England,Barabati Stadium,England ,0,India,England
November,2002,India ,West Indies,Barkatullah Khan Stadium,India ,1,India,West Indies
January,2002,New Zealand ,South Africa,Bellerive Oval,South Africa ,0,New Zealand,South Africa
December,2002,South Africa ,Pakistan,Boland Park,South Africa ,1,South Africa,Pakistan
January,2002,Australia ,South Africa,Brisbane Cricket Ground,Australia ,1,Australia,South Africa
January,2002,New Zealand ,South Africa,Brisbane Cricket Ground,New Zealand ,1,New Zealand,South Africa
June,2002,Australia ,Pakistan,Brisbane Cricket Ground,Pakistan ,0,Australia,Pakistan
December,2002,England ,Sri Lanka,Brisbane Cricket Ground,England ,1,England,Sri Lanka
December,2002,South Africa ,Pakistan,Buffalo Park,South Africa ,1,South Africa,Pakistan
February,2002,New Zealand ,England,Carisbrook,New Zealand ,1,New Zealand,England
July,2002,India ,Sri Lanka,County Ground ,India ,1,India,Sri Lanka
June,2002,West Indies ,New Zealand,Darren Sammy National Cricket Stadium,West Indies ,1,West Indies,New Zealand
June,2002,West Indies ,New Zealand,Darren Sammy National Cricket Stadium,West Indies ,1,West Indies,New Zealand
October,2002,South Africa ,Bangladesh,Diamond Oval,South Africa ,1,South Africa,Bangladesh
December,2002,South Africa ,Sri Lanka,Diamond Oval,South Africa ,1,South Africa,Sri Lanka
January,2002,India ,England,Eden Gardens,India ,1,India,England
December,2002,New Zealand ,India,Eden Park,New Zealand ,1,New Zealand,India
February,2002,New Zealand ,England,Eden Park,England ,0,New Zealand,England
July,2002,India ,Sri Lanka,Edgbaston,India ,1,India,Sri Lanka
June,2002,Australia ,Pakistan,Etihad Stadium,Australia ,1,Australia,Pakistan
June,2002,Australia ,Pakistan,Etihad Stadium,Pakistan ,0,Australia,Pakistan
January,2002,India ,England,Feroz Shah Kotla,England ,0,India,England
April,2002,Pakistan ,New Zealand,Gaddafi Stadium,Pakistan ,1,Pakistan,New Zealand
January,2002,India ,England,Green Park,India ,1,India,England
August,2002,Australia ,Pakistan,Gymkhana Club Ground,Australia ,1,Australia,Pakistan
September,2002,Australia ,Pakistan,Gymkhana Club Ground,Australia ,1,Australia,Pakistan
July,2002,England ,Sri Lanka,Headingley,England ,1,England,Sri Lanka
November,2002,India ,West Indies,Indira Gandhi Stadium,West Indies ,0,India,West Indies
November,2002,India ,West Indies,Keenan Stadium,West Indies ,0,India,West Indies
June,2002,India ,Sri Lanka,Kennington Oval,India ,1,India,Sri Lanka
July,2002,England ,India,Kennington Oval,England ,1,England,India
May,2002,West Indies ,India,Kensington Oval,India ,0,West Indies,India
April,2002,South Africa ,Australia,Kingsmead,Australia ,0,South Africa,Australia
December,2002,South Africa ,Pakistan,Kingsmead,South Africa ,1,South Africa,Pakistan
June,2002,England ,India,Lord's,India ,0,England,India
July,2002,England ,India,Lord's,India ,0,England,India
January,2002,Bangladesh ,Pakistan,MA Aziz Stadium,Pakistan ,0,Bangladesh,Pakistan
January,2002,India ,England,MA Chidambaram Stadium,India ,1,India,England
November,2002,India ,West Indies,Madhavrao Scindia Cricket Ground,India ,1,India,West Indies
March,2002,South Africa ,Australia,Mangaung Oval,Australia ,0,South Africa,Australia
December,2002,South Africa ,Sri Lanka,Mangaung Oval,South Africa ,1,South Africa,Sri Lanka
December,2002,New Zealand ,India,McLean Park,New Zealand ,1,New Zealand,India
February,2002,New Zealand ,England,McLean Park,England ,0,New Zealand,England
January,2002,Australia ,New Zealand,Melbourne Cricket Ground,Australia ,1,Australia,New Zealand
December,2002,Australia ,England,Melbourne Cricket Ground,Australia ,1,Australia,England
January,2002,Australia ,New Zealand,Melbourne Cricket Ground,New Zealand ,0,Australia,New Zealand
January,2002,Australia ,South Africa,Melbourne Cricket Ground,South Africa ,0,Australia,South Africa
February,2002,New Zealand ,South Africa,Melbourne Cricket Ground,South Africa ,0,New Zealand,South Africa
August,2002,Pakistan ,Sri Lanka,National Cricket Stadium ,Pakistan ,1,Pakistan,Sri Lanka
August,2002,South Africa ,Pakistan,National Cricket Stadium ,South Africa ,1,South Africa,Pakistan
August,2002,South Africa ,Pakistan,National Cricket Stadium ,South Africa ,1,South Africa,Pakistan
August,2002,South Africa ,Sri Lanka,National Cricket Stadium ,Sri Lanka ,0,South Africa,Sri Lanka
August,2002,Pakistan ,Sri Lanka,National Cricket Stadium ,Sri Lanka ,0,Pakistan,Sri Lanka
August,2002,South Africa ,Sri Lanka,National Cricket Stadium ,Sri Lanka ,0,South Africa,Sri Lanka
August,2002,South Africa ,Sri Lanka,National Cricket Stadium ,Sri Lanka ,0,South Africa,Sri Lanka
April,2002,Pakistan ,New Zealand,National Stadium,Pakistan ,1,Pakistan,New Zealand
April,2002,South Africa ,Australia,Newlands,South Africa ,1,South Africa,Australia
December,2002,South Africa ,Pakistan,Newlands,South Africa ,1,South Africa,Pakistan
July,2002,England ,Sri Lanka,Old Trafford,Sri Lanka ,0,England,Sri Lanka
June,2002,West Indies ,India,Queen's Park Oval,India ,0,West Indies,India
June,2002,West Indies ,New Zealand,Queen's Park Oval,New Zealand ,0,West Indies,New Zealand
June,2002,West Indies ,India,Queen's Park Oval,West Indies ,1,West Indies,India
September,2002,England ,India,R Premadasa Stadium,India ,0,England,India
September,2002,India ,South Africa,R Premadasa Stadium,India ,1,India,South Africa
August,2002,Sri Lanka ,Bangladesh,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,Bangladesh
September,2002,Sri Lanka ,Pakistan,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,Pakistan
